term,estimate,std.error,statistic,df,p.value,variable,LCI,UCI,exposure
I(handgrip * 10),0.4361630537619795,0.3941626147635109,1.1065561203049863,383.70896404470915,0.2691791355845192,HDLc,-0.33639567117450186,1.208721778698461,Muscle Strength
I(handgrip * 10),-0.5203314707398894,1.49783711708796,-0.3473885543386044,689.3047780877746,0.7284054718356772,LDLc,-3.456092220232291,2.4154292787525122,Muscle Strength
I(handgrip * 10),-0.9380055158351137,1.1517615810928445,-0.8144094500400776,481.5436670802091,0.41581298588678006,ApoA1,-3.195458214777089,1.3194471831068615,Muscle Strength
I(handgrip * 10),-1.1271407617234974,1.2094776169606212,-0.9319236221633984,754.9154959526453,0.3516739366170034,ApoB,-3.497716890966315,1.2434353675193202,Muscle Strength
I(handgrip * 10),-0.3642253244449457,0.14262634774836064,-2.5537029461594143,926.1847025963336,0.010817576137374108,hsCRP,-0.6437729660317326,-0.08467768285815885,Muscle Strength
I(handgrip * 10),-0.3885186891625191,0.4144193749236775,-0.9375012672466666,261.3124334343727,0.3493664328299566,Insulin,-1.2007806640129268,0.42374328568788877,Muscle Strength
I(handgrip * 10),0.29284702191833084,1.019056350837091,0.28737078344860456,606.0768954614412,0.7739266558729061,Glucose,-1.7045034257223672,2.290197469559029,Muscle Strength
I(handgrip * 10),-0.037048547015996025,0.020961885699855617,-1.7674243408478851,597.3613306757061,0.07766768323106499,NEFA,-0.07813384298771303,0.004036748955720981,Muscle Strength
I(handgrip * 10),-28.044966498917063,12.78500667736879,-2.193582467857486,101.09380477531658,0.03055670031824187,IL10,-53.10357958655989,-2.986353411274237,Muscle Strength
I(handgrip * 10),-567.2863998413352,395.3587923073933,-1.4348647630435583,201.16145308656434,0.1528785143065332,Adiponectin,-1342.189632763826,207.61683308115562,Muscle Strength
I(handgrip * 10),-510.35700240286366,334.4277741458406,-1.5260604586636457,359.0998555189478,0.12787505220689432,Leptin,-1165.8354397287112,145.12143492298395,Muscle Strength
I(handgrip * 10),-287.38521147088244,73.77660333350454,-3.8953434894768426,180.8400815403864,1.3789675070019491e-4,TNFsR,-431.9873540045513,-142.78306893721356,Muscle Strength
I(handgrip * 10),-143.35459919345098,147.39781728699933,-0.9725693489363159,428.52163295870514,0.3313160384292393,Resistin,-432.25432107596964,145.5451226890677,Muscle Strength
I(handgrip * 10),0.023719452288961988,0.04295158968856036,0.5522368895063127,313.4580000627286,0.5811795924283969,fast.PC1,-0.06046566350061632,0.10790456807854029,Muscle Strength
I(handgrip * 10),-0.03891204694833543,0.057122179637254133,-0.6812073207892375,233.67115969453087,0.4964148386043963,fast.PC2,-0.15087151903735352,0.07304742514068267,Muscle Strength
I(handgrip * 10),-0.14020068079813175,0.04975416825860094,-2.8178680441290553,342.464729884576,0.0051150806708888386,fast.PC3,-0.2377188505849896,-0.042682511011273905,Muscle Strength
I(handgrip * 10),-1.3138809886820426,0.7038074298441075,-1.8668188668782109,1104.1796501908493,0.06219175127552634,adsbp,-2.6933435511764934,0.06558157381240814,Muscle Strength
I(handgrip * 10),-0.19955523691911042,0.4182145890950514,-0.4771599129310999,1105.854225409227,0.6333425368094727,addbp,-1.0192558315454112,0.6201453577071903,Muscle Strength
